Артикул;Название;Категория;Описание;Цена;Скидка;Вес;Калории;Количество в порции;Объём;Картинка;Статус
6012;Семь самураев;Сеты;Роллы: Гурман, Фила, Грин, Тейшоку, Тори ролл, Калифорния с лососем, Филадельфия классическая;1886;50;1550;1676;58;;uploads/items/sem-samurai-set.jpg;1
6013;Уикенд;Сеты;Роллы: Сяке-кунсей маки, Каппа маки, Кани маки, Сяке маки, Канада, Сяке-тобико маки, Суши: Чука 2 шт, Унаги 2 шт, Сяке 2 шт, Горячий ролл: Нежность;1824;50;1485;1658;62;;uploads/items/yikend-set.jpg;1
6014;Хеппи;Сеты;Роллы: Микс, Нежный, Филадельфия классическая, Горячие роллы: Итльянский, Олимпийский;1358;50;980гр;1404;40;;uploads/items/heppi-set.jpg;1
6015;Калифорния;Сеты;Роллы: Калифорния с креветкой, Калифорния с лососем, Калифорния чиз с угрем, Калифорния чиз с крабом;1160;50;910;846;32;;uploads/items/сalifornia-set.jpg;1
6016;Кинг;Сеты;Роллы: Калифорния чиз с угрем, Престиж, Запеченый ролл: Кинг, Горячий ролл: Люкс;1160;50;980;1169;32;;uploads/items/king-set.jpg;1
6017;Престиж;Сеты;Роллы: Престиж, Канзас, Мао, Каппа маки, Сяке маки;1056;50;975;1319;40;;uploads/items/prestige-set.jpg;1
6018;Филадельфия;Сеты;Роллы: Фиш ролл, Филадельфия классическая, Филадельфия с лососем, Каппа маки, Канзас, Майами;1528;50;1300;1584;48;;uploads/items/.jpg;1
7001;Имбирь;Дополнительно;;15;;;;;;uploads/items/imbir.jpg;1
7002;Васаби;Дополнительно;;10;;;;;;uploads/items/vasabi.jpg;1
7003;Соевый соус;Дополнительно;;15;;;;;;uploads/items/soevi.jpg;1
7004;Спайси соус;Дополнительно;;30;;;;;;uploads/items/spaisi.jpg;1
7005;Ореховый соус;Дополнительно;;50;;;;;;uploads/items/orehovi.jpg;1
7006;Белый соус;Дополнительно;;50;;;;;;uploads/items/slivochni.jpg;1
7007;Соус Ким Чи;Дополнительно;;50;;;;;;uploads/items/kimchi.jpg;1
7008;Палочки;Дополнительно;;0;;;;;;uploads/items/palochki.jpg;1
7009;Морс: Клюквенный;Напитки;Клюква, сахар, вода;33;;300;38;;;uploads/items/mors-klukva.jpg;0
7010;Морс: Черная смородина;Напитки;Черная смородина, сахар, вода;33;;300;38;;;uploads/items/mors-smorodinacher.jpg;0
7011;Морс: Клюквенный;Напитки;Клюква, сахар, вода;59;;500;38;;;uploads/items/mors-klukva.jpg;0
7012;Морс: Черная смородина;Напитки;Черная смородина, сахар, вода;59;;500;38;;;uploads/items/mors-smorodinacher.jpg;0
7013;Набор специй;Дополнительно;Васаби, имбирь маринованный, соевый соус;40;;65;;;;uploads/items/nabor.jpg;1
5019;Чиз краб ;Запечённые роллы;Снежный краб, сырный соус;144;50;177;234;8;;uploads/items/shiz-krab.jpg;1
5020;Чиз лосось;Запечённые роллы;Лосось, сырный соус;262;50;177;552;8;;uploads/items/shiz-losos.jpg;1
5021;Чиз угорь;Запечённые роллы;Угорь копченый, сырный соус;166;50;177;294;8;;uploads/items/shiz-ugor.jpg;1
5022;Колорадо;Запечённые роллы;Лосось, огурец, кунжут, сыр сливочный, сырный соус;308;50;298;565;8;;uploads/items/kolorado.jpg;1
5023;Флорида;Запечённые роллы;Угорь копченый, японский омлет, огурец, сыр сливочный, кунжут, сырный соус;264;50;294;613;8;;uploads/items/florida.jpg;1
5024;Чемпион;Запечённые роллы;Креветки в кляре, спайси соус, огурец, кунжут, крабовый соус, унаги соус;272;50;263;454;8;;uploads/items/champion.jpg;1
5025;Дуэт;Запечённые роллы;Угорь копченый, огурец, кунжут, сыр сливочный, крабовый соус, унаги соус;278;50;284;578;8;;uploads/items/duо.jpg;1
5026;Феникс;Запечённые роллы;Бекон, огурец, кунжут, сыр сливочный, крабовый соус;252;50;285;594;8;;uploads/items/feniks.jpg;1
5027;Чикен бекон;Запечённые роллы;Бекон, курица х/к, огурец, кунжут, сыр сливочный, сырный соус;242;50;289;594;8;;uploads/items/chikken-bacon.jpg;1
4014;Креветка темпура ;Жареные роллы;Креветка, огурец, имбирь маринованный, ореховый соус, кунжут;234;50;245;283;8;;uploads/items/krew-tempura.jpg;1
3045;Годзилла;Роллы;Кретка в кляре, огурец, кунжут, спайси соус;246;50;218;244;8;;uploads/items/godzilla.jpg;1
3046;Камчатка;Роллы;Снежный краб, огурец, икра масаго, сыр сливочный;244;50;225;208;8;;uploads/items/kamchatka.jpg;1
3047;Микс;Роллы;Угорь копченый, снежный краб, огурец, икра масаго, сыр сливочный;256;50;230;258;8;;uploads/items/mix-roll.jpg;1
3048;Эби темпура;Роллы;Креветка темпура, икра масаго, огурец, спайси соус;256;50;200;142;8;;uploads/items/ebi-tempura.jpg;1
9201;Салат Чука;Салат;Салат чука, лист салата, лимон, соус ореховый, кунжут;150;50;130;120;;;uploads/items/sd_0003_сhuka.jpg;1
6020;Трио;Сеты;Запечённые роллы: Чикен бекон, Чиз краб, Феникс ;606;50;751;1422;24;;uploads/items/trio.jpg;1
6021;Гранд;Сеты;Роллы: Эби темпура, Камчатка, Запечённый ролл: Колорадо, Горячий ролл: Европа;1030;50;973;1246;32;;uploads/items/grant.jpg;1
6022;Космос;Сеты;Запечённые роллы: Чиз краб, Чиз лосось, Чиз угорь, Дуэт, Горячий ролл: Креветка темпура;1030;50;1060;1941;40;;uploads/items/kosmos.jpg;1
6023;Казантип ;Сеты;Роллы: Годзилла, Филадельфия с лососем, Запечённые роллы: Чикен бекон, Унаги, Дубай;1312;50;1247;2588;40;;uploads/items/kazantip.jpg;1
6024;Летний;Сеты;Запечённые роллы: Чиз угорь, Чемпион, Горячие роллы: Европа, Радость, Цезарь ;1218;50;1225;1744;40;;uploads/items/letnii.jpg;1
